Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1463574269863018504,inception was a masterpiece and it made sense ? https://t.co/9Xo21skwsi,ashanti ohemaa ?,abenaxtx,2021-11-24T18:24:32.000Z,Wed Nov 24 18:24:32 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/laurarichwhit/status/1462811340070866946 ,0,0,,,,,
1463574191471566859,"RT @RealOlaudah : How @OfficialAPCNg pauperized Nigerians since inception of their government in 2015 will certainly be discussed in much greater detail post-2023. How the middle class was eliminated and professionals totally decimated with large migration outflows, will also be talked about.",!k@®€????™?GCFR??,Sub_Zeerro,2021-11-24T18:24:13.000Z,Wed Nov 24 18:24:13 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,1,,,,,
1463574177189965824,"RT @JujuliaGrace : This was just a battle. There has been a war on the NHS right from its inception; there have always been people looking to profit from healthcare

We want to win the war; and that requires a movement. So we’re building one?
#ScrapNHSBill @EveryDoctorUK

?https://t.co/zkhH1sBhRu",Brian Noon,briannoon,2021-11-24T18:24:10.000Z,Wed Nov 24 18:24:10 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.crowdfunder.co.uk/scrap-nhs-bill ,1,1,,,,,
1463573966430388238,"RT @drapedinhistory : Art inception. Dec.1950 Horst photo for Vogue of ballerina Mary Drage standing in front of a 1899 Sargent portrait of The Wyndham Sisters. They pose in front of a portrait of their mother, Madeline Wyndham, painted by George Frederick Watts in 1877. 
More: https://t.co/6E8nAZPlVr https://t.co/lB2M4YdDoi",eehcnahc,eehcnahc,2021-11-24T18:23:20.000Z,Wed Nov 24 18:23:20 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.instagram.com/p/CWoNWXyJ61h/?utm_medium=copy_link ,0,0,photo,https://pbs.twimg.com/media/FE5hQWKXEAYCF2A.jpg,https://pbs.twimg.com/media/FE5hQWJWUA0n8Cv.jpg,https://pbs.twimg.com/media/FE5hQWGXIAMJQkb.jpg,
1463573960067633158,Pare la figlia di Dawson. #inception https://t.co/ktmmL54KI6,Claudette_Boutique,Claudette__,2021-11-24T18:23:18.000Z,Wed Nov 24 18:23:18 +0000 2021,0,0,it,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FE-owgfWQAkUuTx.jpg,,,
1463573786595311618,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,Swinny,jrswinford,2021-11-24T18:22:37.000Z,Wed Nov 24 18:22:37 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1463573716156174340,"Here’s a lovely thing.

Watch the main characters from DAD’S ARMY (1968-77) develop from inception to fully fledged members of the Home Guard.

 https://t.co/rz4fd3UFvD",Michael Warburton,MichaelWarbur17,2021-11-24T18:22:20.000Z,Wed Nov 24 18:22:20 +0000 2021,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1438908918370115589/pu/vid/360x270/4AIzoyd6PtzLSAn6.mp4?tag=12,,,
1463573598287785989,"RT @_kalxy_ : #Wetiko is real and the #US gov’t is infested by it!
?

They’re human beings but behaving as savage monsters since the inception of #America via genocide then slavery &amp; continued #whitesupremacy! https://t.co/9Edp6IbOyw",Mr. NoahItALL!,MrNoahItALL,2021-11-24T18:21:52.000Z,Wed Nov 24 18:21:52 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/SolomonMKassa/status/1458650997644054532 ,4,0,,,,,
1463573444604440578,"RT @EveryDoctorUK : This was just a battle. There has been a war on the NHS right from its inception; there have always been people looking to profit from healthcare.

We want to win the war; and that requires a movement. So we’re building one. #ScrapNHSBill 

https://t.co/pESpdikW2G",Hat Tottins,Allchanges,2021-11-24T18:21:15.000Z,Wed Nov 24 18:21:15 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/Fund-ScrapNHSBill ,1,0,,,,,
1463573400195145730,"RT @JujuliaGrace : This was just a battle. There has been a war on the NHS right from its inception; there have always been people looking to profit from healthcare.

We want to win the war; and that requires a movement. So we’re building one. #ScrapNHSBill 
@EveryDoctorUK 

https://t.co/zkhH1sBhRu",SuperdudeBigCheese,Goonobody,2021-11-24T18:21:05.000Z,Wed Nov 24 18:21:05 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,https://www.crowdfunder.co.uk/scrap-nhs-bill ,1,1,,,,,
